mimes                            files       size          share
-----------------------------  -------  ---------  -------------
image/png                          105  157584617   57.7695
image/jpeg                         241   45381615   16.6366
image/gif                            3   36700342   13.4541
text/html                          436   28483814   10.442
application/javascript              26    1504222    0.551438
application/json                   376    1104864    0.405036
text/css                            12     824054    0.302093
text/xml                            96     348793    0.127865
font/woff                            4     256294    0.0939557
font/woff2                           4     215144    0.0788704
application/rss+xml                 59     137935    0.0505661
application/octet-stream             3     134483    0.0493006
application/vnd.ms-fontobject        1      57077    0.0209241
image/svg+xml                        3      47864    0.0175466
text/plain                           1        602    0.000220689
#total                            1370  272781720  100
