mimes                            files       size          share
-----------------------------  -------  ---------  -------------
text/html                         2091   86935577   45.0918
image/jpeg                         165   33035277   17.1347
image/gif                           21   25924824   13.4467
application/pdf                     12   18924328    9.81567
image/png                           99   11810875    6.12607
application/json                  1620    5391180    2.7963
text/css                            11    4055254    2.10338
application/rss+xml                322    3136182    1.62668
application/javascript              23    1503057    0.779606
text/xml                           296    1104857    0.573067
application/font-woff2               2     454574    0.235778
application/font-ttf                 5     355836    0.184565
application/vnd.ms-fontobject        2      63373    0.0328703
image/svg+xml                       15      62400    0.0323656
application/font-woff                2      38652    0.020048
text/plain                           1        828    0.000429467
#total                            4687  192797074  100
