mimes                       files        size          share
------------------------  -------  ----------  -------------
text/xml                      475  3225297050   85.0751
text/html                    2921   532943057   14.0577
image/jpeg                    328    19541527    0.515455
image/png                      25     5254146    0.138591
application/javascript         76     4819632    0.12713
font/woff2                     84      981849    0.0258987
text/css                        7      952817    0.0251329
image/svg+xml                  31      570181    0.0150399
                             1037      486949    0.0128445
application/ld+json            54      171861    0.00453325
application/json               48       67773    0.00178768
font/woff                       1       22015    0.000580699
image/gif                       5        3282    8.65707e-05
image/x-icon                    1        3150    8.30889e-05
text/plain                      6        2811    7.4147e-05
application/octet-stream        1         960    2.53223e-05
#total                       5100  3791119060  100
