"mimes                            files        size          share
-----------------------------  -------  ----------  -------------
image/jpeg                       12474  3333565044   58.6052
image/webp                       11604  1346738886   23.6761
image/gif                          131   552099543    9.7061
image/png                          521   245933555    4.3236
text/html                         2876   205440128    3.61171
image/svg+xml                      180     2990832    0.0525799
application/javascript               2      513986    0.00903605
application/octet-stream             5      271807    0.00477846
application/font-woff                3      265038    0.00465946
text/css                             2      186981    0.00328719
application/json                     1       51071    0.000897846
application/vnd.ms-fontobject        1       42966    0.000755357
application/rss+xml                  1       24336    0.000427835
text/javascript                      1       18064    0.000317571
application/xml                      1       18055    0.000317413
image/x-icon                         1        7011    0.000123256
text/plain                           1        1062    1.86703e-05
                                     1         143    2.51399e-06
#total                           27806  5688168508  100"
