mimes                            files      size         share
-----------------------------  -------  --------  ------------
image/jpeg                         147  24963749   53.8507
image/png                           22   8093847   17.4597
application/pdf                      1   4561612    9.84012
text/html                          182   4329774    9.34001
application/json                   547   1160451    2.50328
font/ttf                             5    857773    1.85035
text/css                            10    517574    1.11649
font/woff2                           5    385203    0.830944
application/javascript              23    344286    0.742679
image/svg+xml                        1    323204    0.697202
application/rss+xml                 61    317234    0.684324
application/vnd.ms-fontobject        1    215013    0.463817
text/xml                            50    161444    0.34826
font/woff                            1    116400    0.251093
application/xml                      9      8902    0.019203
text/plain                           2       830    0.00179044
#total                            1067  46357296  100
